Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Amh	anti-Mullerian hormone	MGI:MGI:88006	MIS|Mullerian inhibiting substance
Osm	oncostatin M	MGI:MGI:104749	OncoM
Peg3	paternally expressed 3	MGI:MGI:104748	End4|Gcap4|Pw1|Zfp102
Pkia	protein kinase inhibitor, alpha	MGI:MGI:104747	PKIalpha
Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	MGI:MGI:104741	IkappaBalpha|I-kappaBalpha|I(Kappa)B(alpha)|Nfkbi
Ppara	peroxisome proliferator activated receptor alpha	MGI:MGI:104740	4933429D07Rik|Nr1c1|Ppar|PPARalpha|PPAR-alpha
Havcr2	hepatitis A virus cellular receptor 2	MGI:MGI:2159682	Tim3|TIM-3|Timd3
Ctdsp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1	MGI:MGI:2654470	SCP1
Cdkn2a	cyclin-dependent kinase inhibitor 2A	MGI:MGI:104738	Arf|ARF-INK4a|Ink4a/Arf|INK4a-ARF|MTS1|p16|p16INK4a|p19ARF|p19<ARF>|Pctr1
Atn1	atrophin 1	MGI:MGI:104725	Atr1|atrophin-1|Drpla
Fgf9	fibroblast growth factor 9	MGI:MGI:104723	Eks|glia activating factor
Bhlha15	basic helix-loop-helix family, member a15	MGI:MGI:891976	1810009C13Rik|Bhlhb8|Mist1
Meis1	Meis homeobox 1	MGI:MGI:104717	C530044H18Rik
Tbx22	T-box 22	MGI:MGI:2389465	D230020M15Rik
Maml3	mastermind like 3 (Drosophila)	MGI:MGI:2389461	
Maml2	mastermind like 2 (Drosophila)	MGI:MGI:2389460	
Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	MGI:MGI:891963	14-3-3 tau|14-3-3 theta|2700028P07Rik
Wbp2	WW domain binding protein 2	MGI:MGI:104709	
Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2	MGI:MGI:2159649	6330586C16Rik|SLM-1
Shh	sonic hedgehog	MGI:MGI:98297	Hhg1|Hx|Hxl3|M100081
Tfip11	tuftelin interacting protein 11	MGI:MGI:1930075	Tip39
Srsf5	serine/arginine-rich splicing factor 5	MGI:MGI:98287	Sfrs5
Spi1	spleen focus forming virus (SFFV) proviral integration oncogene	MGI:MGI:98282	Dis-1|PU.1|Sfpi1|Sfpi-1|Spi-1|Tcfpu1|Tfpu.1
Trak2	trafficking protein, kinesin binding 2	MGI:MGI:1918077	2900022D04Rik|4733401O11Rik|Als2cr3|CALS-C|GRIF1|GRIF-1|OIP98
Ccl3	chemokine (C-C motif) ligand 3	MGI:MGI:98260	G0S19-1|LD78alpha|macrophage inflammatory protein-1alpha|Mip1a|MIP1-(a)|MIP-1alpha|MIP-1 alpha|MIP1-alpha|Scya3
Klf3	Kruppel-like factor 3 (basic)	MGI:MGI:1342773	9930027G08Rik|Bklf|Tef-2
Klf1	Kruppel-like factor 1 (erythroid)	MGI:MGI:1342771	Eklf|Nan
Lrrfip1	leucine rich repeat (in FLII) interacting protein 1	MGI:MGI:1342770	FLAP (FLI LRR associated protein)|Fliiap1
E2f6	E2F transcription factor 6	MGI:MGI:1354159	EMA
Megf8	multiple EGF-like-domains 8	MGI:MGI:2446294	b2b1702Clo|b2b288Clo|Egfl4|m687Ddg
Hexb	hexosaminidase B	MGI:MGI:96074	
Ing1	inhibitor of growth family, member 1	MGI:MGI:1349481	2610028J21Rik|mING1h|p33Ing1
Ctbp2	C-terminal binding protein 2	MGI:MGI:1201686	D7Ertd45e|Gtrgeo6|Ribeye
Ctbp1	C-terminal binding protein 1	MGI:MGI:1201685	BARS|CtBP1-L|CtBP1-S|CtBP3/BARS|D4S115h|D5H4S115|D5H4S115E
Eomes	eomesodermin	MGI:MGI:1201683	Tbr2
Zbtb9	zinc finger and BTB domain containing 9	MGI:MGI:1918022	3930402F13Rik
Rxrb	retinoid X receptor beta	MGI:MGI:98215	H-2RIIBP|Nr2b2|RCoR-1|Rub
Rxra	retinoid X receptor alpha	MGI:MGI:98214	9530071D11Rik|RXRalpha1|RXR alpha 1
Shox2	short stature homeobox 2	MGI:MGI:1201673	6330543G17Rik|Og12x|Prx3
Ecsit	ECSIT signalling integrator	MGI:MGI:1349469	Sitpec
Med14	mediator complex subunit 14	MGI:MGI:1349442	9930001L01Rik|Crsp2|ENSMUSG00000073278|LOC270579|ORF1|Trap170
Crtc2	CREB regulated transcription coactivator 2	MGI:MGI:1921593	4632407F12Rik
Ern2	endoplasmic reticulum (ER) to nucleus signalling 2	MGI:MGI:1349436	Ire1b
Tet3	tet methylcytosine dioxygenase 3	MGI:MGI:2446229	B430006D22Rik|D230004J03Rik
Foxl2	forkhead box L2	MGI:MGI:1349428	Pfrk
Samd11	sterile alpha motif domain containing 11	MGI:MGI:2446220	mr-s
Figla	folliculogenesis specific basic helix-loop-helix	MGI:MGI:1349421	bHLHc8|FIG alpha
Hist1h2aa	histone cluster 1, H2aa	MGI:MGI:2448285	
Hist1h2ad	histone cluster 1, H2ad	MGI:MGI:2448289	
Cxxc1	CXXC finger 1 (PHD domain)	MGI:MGI:1921572	2410002I16Rik|5830420C16Rik|Cfp1|Cgbp|PHF18
Cops5	COP9 signalosome subunit 5	MGI:MGI:1349415	COP9 complex S5|CSN5|Jab1|JUN activation binding protein|Sgn5
Hist1h2ah	histone cluster 1, H2ah	MGI:MGI:2448295	
Fam83g	family with sequence similarity 83, member G	MGI:MGI:1916890	2310040C09Rik|wly
Prop1	paired like homeodomain factor 1	MGI:MGI:109330	Prop-1|prophet of Pit1|prophet of Pit-1
Zfp213	zinc finger protein 213	MGI:MGI:3053094	D17Ertd197e
Zfp879	zinc finger protein 879	MGI:MGI:3053099	9630041N07Rik
Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	MGI:MGI:109345	Sh2bp1|Tsbp|Tsp
Trappc9	trafficking protein particle complex 9	MGI:MGI:1923760	1810044A24Rik|2900005P22Rik|4632408O18Rik|Nibp|TRS130
Dab2ip	disabled 2 interacting protein	MGI:MGI:1916851	2310011D08Rik|AIP1
Cbx5	chromobox 5	MGI:MGI:109372	2610029O15Rik|heterochromatin protein 1 alpha|HP1|Hp1a|Hp1alpha
Ell	elongation factor RNA polymerase II	MGI:MGI:109377	eleven-nineteen lysine-rich leukemia gene|Ell1|Men
Cyld	cylindromatosis (turban tumor syndrome)	MGI:MGI:1921506	2010013M14Rik|2900009M21Rik|C130039D01Rik|CYLD1
Hfe2	hemochromatosis type 2 (juvenile)	MGI:MGI:1916835	2310035L15Rik|5230400G09Rik|DL-M|hemojuvelin|HJV|Rgmc
Loxl2	lysyl oxidase-like 2	MGI:MGI:2137913	1110004B06Rik|9430067E15Rik
Esr2	estrogen receptor 2 (beta)	MGI:MGI:109392	ERbeta|ER beta|Estrb|oestrogen receptor beta
Twist2	twist basic helix-loop-helix transcription factor 2	MGI:MGI:104685	bHLHa39|Dermo1
Cdk13	cyclin-dependent kinase 13	MGI:MGI:1916812	2310015O17Rik|Cdc2l5
Zfp638	zinc finger protein 638	MGI:MGI:1203484	Np220|Zfml
Tfap2b	transcription factor AP-2 beta	MGI:MGI:104672	AP-2(beta)|E130018K07Rik|Tcfap2b
Tfap2a	transcription factor AP-2, alpha	MGI:MGI:104671	Ap2|Ap-2 (a)|AP2alpha|AP-2 alpha|Ap2tf|Tcfap2a
Nono	non-POU-domain-containing, octamer binding protein	MGI:MGI:1855692	P54NRB
Zfp68	zinc finger protein 68	MGI:MGI:1344427	KRAB3|KRAZ2|Zfp70
Ascc2	activating signal cointegrator 1 complex subunit 2	MGI:MGI:1922702	1700011I11Rik|2610034L15Rik|ASC1p100
Zfp704	zinc finger protein 704	MGI:MGI:2180715	Gig1
Park2	Parkinson disease (autosomal recessive, juvenile) 2, parkin	MGI:MGI:1355296	PRKN
Zfp287	zinc finger protein 287	MGI:MGI:2176561	B230333C16Rik|SKAT-2
Myocd	myocardin	MGI:MGI:2137495	Srfcp
Foxp1	forkhead box P1	MGI:MGI:1914004	3110052D19Rik|4932443N09Rik
Cipc	CLOCK interacting protein, circadian	MGI:MGI:1919185	2310044G17Rik
Hmgn5	high-mobility group nucleosome binding domain 5	MGI:MGI:1355295	GARP45|NBP-45|Nsbp1|nucleosome binding protein 45
Akt1	thymoma viral proto-oncogene 1	MGI:MGI:87986	Akt|PKB|PKB/Akt|PKBalpha
Ahi1	Abelson helper integration site 1	MGI:MGI:87971	1700015F03Rik|Ahi-1|D10Bwg0629e|Jouberin
Irx4	Iroquois related homeobox 4 (Drosophila)	MGI:MGI:1355275	
Agtr2	angiotensin II receptor, type 2	MGI:MGI:87966	AT2 receptor
Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	MGI:MGI:87963	angiotensin precursor|Aogen|Serpina8
Agrn	agrin	MGI:MGI:87961	Agrin|nmf380
Prdx3	peroxiredoxin 3	MGI:MGI:88034	Aop1|D0Tohi1|Ef2l|Mer5|Prx III|SP22|TDXM
Afr2	alpha fetoprotein regulation 2, inducibility	MGI:MGI:87953	Afr-2|Rif
Mad2l2	MAD2 mitotic arrest deficient-like 2	MGI:MGI:1919140	2310033C13Rik|G1-453-4|MAD2B|repro22|REV7
Adrb2	adrenergic receptor, beta 2	MGI:MGI:87938	Adrb-2|Badm|beta 2-adrenoceptor|beta 2-AR|Gpcr7
Acvr2b	activin receptor IIB	MGI:MGI:87912	ActRIIB
Acvr1	activin A receptor, type 1	MGI:MGI:87911	ActR-I|ActRIA|Acvr|Acvrlk2|Alk-2|ALK2|Alk8|D330013D15Rik|SKR1|Tsk7L
Gtf2i	general transcription factor II I	MGI:MGI:1202722	6030441I21Rik|BAP-135|TFII-I
Ccnl1	cyclin L1	MGI:MGI:1922664	2610030E23Rik|ania-6a
2610021A01Rik	RIKEN cDNA 2610021A01 gene	MGI:MGI:1922662	
Psen1	presenilin 1	MGI:MGI:1202717	Ad3h|presenilin-1|PS1|PS-1|S182
Tcf21	transcription factor 21	MGI:MGI:1202715	bHLHa23|capsulin|epc|epicardin|Pod1|Pod-1|podocyte-expressed 1
Ramp3	receptor (calcitonin) activity modifying protein 3	MGI:MGI:1860292	
Zfp930	zinc finger protein 930	MGI:MGI:2675306	D10627|zinc finger protein
Nodal	nodal	MGI:MGI:97359	Tg.413d
Set	SET nuclear oncogene	MGI:MGI:1860267	2610030F17Rik|5730420M11Rik|StF-IT-1
Usp51	ubiquitin specific protease 51	MGI:MGI:3588217	
Smad3	SMAD family member 3	MGI:MGI:1201674	Madh3|Smad 3
Rnf4	ring finger protein 4	MGI:MGI:1201691	Gtrgeo8
Zfp800	zinc finger protein 800	MGI:MGI:1889334	
Atf1	activating transcription factor 1	MGI:MGI:1298366	
Sp6	trans-acting transcription factor 6	MGI:MGI:1932575	1110025J03Rik|Epfn|epiprofin|Klf14
Spib	Spi-B transcription factor (Spi-1/PU.1 related)	MGI:MGI:892986	Spi-B
Supt16	suppressor of Ty 16	MGI:MGI:1890948	Cdc68|Fact140|Spt16|Supt16h
Lancl2	LanC (bacterial lantibiotic synthetase component C)-like 2	MGI:MGI:1919085	1700003F10Rik
Zbtb43	zinc finger and BTB domain containing 43	MGI:MGI:1919084	1700010E06Rik|Zfp297b
Gtf2a1l	general transcription factor IIA, 1-like	MGI:MGI:1919078	1700011N16Rik|Alf|Gtf2a1lf
Wwp2	WW domain containing E3 ubiquitin protein ligase 2	MGI:MGI:1914144	1300010O06Rik|AIP2
Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	MGI:MGI:87859	c-Abl|E430008G22Rik
Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	MGI:MGI:99240	0610030D10Rik|Bat1|Bat-1|Bat1a|D17H6S81E-1
Pkd2	polycystic kidney disease 2	MGI:MGI:1099818	C030034P18Rik|PC2|polycystin-2|TRPP2
Taf5l	TATA-box binding protein associated factor 5 like	MGI:MGI:1919039	1110005N04Rik
Asph	aspartate-beta-hydroxylase	MGI:MGI:1914186	2310005F16Rik|3110001L23Rik|aspartyl beta-hydroxylase|BAH|calsequestrin-binding protein|cI-37|jumbug|junctate|Junctin
Rprd1a	regulation of nuclear pre-mRNA domain containing 1A	MGI:MGI:2385066	
Ing3	inhibitor of growth family, member 3	MGI:MGI:1919027	1300013A07Rik|P47ING3
Zfy2	zinc finger protein 2, Y-linked	MGI:MGI:99213	Zfy-2
Zfy1	zinc finger protein 1, Y-linked	MGI:MGI:99212	Zfy-1
Zfx	zinc finger protein X-linked	MGI:MGI:99211	Zfx5|Zfx5,6|Zfx6
Ikzf1	IKAROS family zinc finger 1	MGI:MGI:1342540	5832432G11Rik|Ikaros|LyF-1|Zfpn1a1
Zfp7	zinc finger protein 7	MGI:MGI:99208	KRAB20|KRAB7|Krox-2|mszf73-2|Zfp65|Zfp-7|Zfp80|Zfp86-rs1
Zfp59	zinc finger protein 59	MGI:MGI:99206	Mfg2|Mfg-2
Zfp58	zinc finger protein 58	MGI:MGI:99205	A530094I17Rik|Mfg1|Mfg-1|Zfp817
Zfp57	zinc finger protein 57	MGI:MGI:99204	G19
Tmprss6	transmembrane serine protease 6	MGI:MGI:1919003	1300008A22Rik|matriptase-2
Usp7	ubiquitin specific peptidase 7	MGI:MGI:2182061	2210010O09Rik
Spz1	spermatogenic leucine zipper 1	MGI:MGI:1930801	1700027M20Rik
Tesc	tescalcin	MGI:MGI:1930803	1010001A17Rik|2410011K10Rik|TE-1
Zfp873	zinc finger protein 873	MGI:MGI:3040689	
Mphosph8	M-phase phosphoprotein 8	MGI:MGI:1922589	1500035L22Rik|4930548G07Rik
Olig2	oligodendrocyte transcription factor 2	MGI:MGI:1355331	Bhlhb1|bHLHe19|Olg-2|RK17
Atf7ip2	activating transcription factor 7 interacting protein 2	MGI:MGI:1922579	4930558K11Rik|Get-1|PSM2
Taf1d	TATA-box binding protein associated factor, RNA polymerase I, D	MGI:MGI:1922566	4930553M18Rik|Josd3|TAFI41|TAF(I)41
Asxl2	additional sex combs like 2 (Drosophila)	MGI:MGI:1922552	4930556B16Rik
L3mbtl3	l(3)mbt-like 3 (Drosophila)	MGI:MGI:2143628	MBT-1
Zbtb3	zinc finger and BTB domain containing 3	MGI:MGI:1922541	4930563M09Rik
Nkx2-9	NK2 homeobox 9	MGI:MGI:1270158	Nkx-2.9|Nkx2.9|tinman
Btbd8	BTB (POZ) domain containing 8	MGI:MGI:3646208	EG627196|Gm16115
Zkscan6	zinc finger with KRAB and SCAN domains 6	MGI:MGI:1289293	1700128E15Rik|D11Ertd714e|KOX11|Zfp535
Kcnip3	Kv channel interacting protein 3, calsenilin	MGI:MGI:1929258	4933407H12Rik|Csen|DREAM|KChIP3|R74849
4930557A04Rik	RIKEN cDNA 4930557A04 gene	MGI:MGI:1922521	
Ecd	ecdysoneless homolog (Drosophila)	MGI:MGI:1917851	5730461K03Rik
Mkx	mohawk homeobox	MGI:MGI:2687286	9430023B20Rik|Irxl1
Zfp3	zinc finger protein 3	MGI:MGI:99177	Fnp-1|Zfp-3
Zfp691	zinc finger protein 691	MGI:MGI:3041163	6430544H17Rik
Trim29	tripartite motif-containing 29	MGI:MGI:1919419	1110047J21Rik|2810431N19Rik|4732461M22Rik
Cnot7	CCR4-NOT transcription complex, subunit 7	MGI:MGI:1298230	Caf1
Zmym5	zinc finger, MYM-type 5	MGI:MGI:3041170	9830124H08Rik
N4bp2l2	NEDD4 binding protein 2-like 2	MGI:MGI:2687207	2700092H06Rik|zag1
Foxq1	forkhead box Q1	MGI:MGI:1298228	Hfh1|HFH-1|Hfh1l|sa
Tbr1	T-box brain gene 1	MGI:MGI:107404	
Tbx10	T-box 10	MGI:MGI:1261436	Tbx13|Tbx7
Terf2ip	telomeric repeat binding factor 2, interacting protein	MGI:MGI:1929871	Rap1
Hbp1	high mobility group box transcription factor 1	MGI:MGI:894659	1700058O05Rik|C330012F01Rik|C86454
Ino80d	INO80 complex subunit D	MGI:MGI:3027003	A430093A21Rik
Actr8	ARP8 actin-related protein 8	MGI:MGI:1860775	5730542K05Rik|ARP8
Chchd2	coiled-coil-helix-coiled-coil-helix domain containing 2	MGI:MGI:1261428	Etohi6
Etohi1	ethanol induced 1	MGI:MGI:1261426	
Nampt	nicotinamide phosphoribosyltransferase	MGI:MGI:1929865	1110035O14Rik|Pbef1|Visfatin
Lrp4	low density lipoprotein receptor-related protein 4	MGI:MGI:2442252	6430526J12Rik|mdig|Megf7
Cd28	CD28 antigen	MGI:MGI:88327	
Zfp652	zinc finger protein 652	MGI:MGI:2442221	9530033F24Rik
Mta1	metastasis associated 1	MGI:MGI:2150037	
Arid2	AT rich interactive domain 2 (ARID, RFX-like)	MGI:MGI:1924294	1700124K17Rik|4432409D24Rik|zipzap/p200
Kdm8	lysine (K)-specific demethylase 8	MGI:MGI:1924285	3110005O21Rik|Jmjd5
Smad5	SMAD family member 5	MGI:MGI:1328787	Madh5|MusMLP|Smad 5
Ferd3l	Fer3-like (Drosophila)	MGI:MGI:2150010	bHLHa31|fer3|Mnato3|Nato3|N-twist
Dvl2	dishevelled segment polarity protein 2	MGI:MGI:106613	
Ddrgk1	DDRGK domain containing 1	MGI:MGI:1924256	1110001I20Rik|2600009E05Rik
Lhx1	LIM homeobox protein 1	MGI:MGI:99783	Lim1
Kdm5c	lysine (K)-specific demethylase 5C	MGI:MGI:99781	D930009K15Rik|Jarid1c|Smcx
Brd9	bromodomain containing 9	MGI:MGI:2145317	
Epc1	enhancer of polycomb homolog 1 (Drosophila)	MGI:MGI:1278322	2400007E14Rik|5730566F07Rik|A930032N02Rik
Epc2	enhancer of polycomb homolog 2 (Drosophila)	MGI:MGI:1278321	D2Ertd694e
Trim21	tripartite motif-containing 21	MGI:MGI:106657	Ro52|Ssa1
Srf	serum response factor	MGI:MGI:106658	
Zfp366	zinc finger protein 366	MGI:MGI:2178429	DC-SCRIPT
Lrp5	low density lipoprotein receptor-related protein 5	MGI:MGI:1278315	LR3|LRP7
Brf1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	MGI:MGI:1919558	2510002F24Rik|GTF3B|TAF3C|TAFIII90|TFIIIB90
Zic3	zinc finger protein of the cerebellum 3	MGI:MGI:106676	Ka
Emsy	EMSY, BRCA2-interacting transcriptional repressor	MGI:MGI:1924203	2210018M11Rik
Zic1	zinc finger protein of the cerebellum 1	MGI:MGI:106683	odd-paired homolog
Banp	BTG3 associated nuclear protein	MGI:MGI:1889023	SMAR1
Pitx1	paired-like homeodomain transcription factor 1	MGI:MGI:107374	Bft|Potx|P-OTX|Ptx1
Zfp595	zinc finger protein 595	MGI:MGI:3040707	A230042K10Rik
Zfp738	zinc finger protein 738	MGI:MGI:3040706	3830402I07Rik|6720487G11Rik
Zscan10	zinc finger and SCAN domain containing 10	MGI:MGI:3040700	Zfp206
Il17a	interleukin 17A	MGI:MGI:107364	Ctla8|Ctla-8|Il17|IL-17A
Tcea3	transcription elongation factor A (SII), 3	MGI:MGI:1196908	S-II
Bmp8b	bone morphogenetic protein 8b	MGI:MGI:107335	Op3
Cux2	cut-like homeobox 2	MGI:MGI:107321	1700051K22Rik|Cutl2|Cux-2|ENSMUSG00000072641
Sgsm1	small G protein signaling modulator 1	MGI:MGI:107320	2410098H20Rik|D5Bwg1524e|Rutbc2
Prmt3	protein arginine N-methyltransferase 3	MGI:MGI:1919224	2010005E20Rik|2410018A17Rik|Hrmt1l3
Phf10	PHD finger protein 10	MGI:MGI:1919307	1810055P05Rik|Baf45a
Ing4	inhibitor of growth family, member 4	MGI:MGI:107307	D6Wsu147e|D6Xrf92|p29ING4
Phf1	PHD finger protein 1	MGI:MGI:98647	D17Ertd455e|mPcl1|PHF2|Tctex3|Tctex-3
Zfp119b	zinc finger protein 119b	MGI:MGI:2385323	BC031441
Tceal1	transcription elongation factor A (SII)-like 1	MGI:MGI:2385317	0610011M09Rik|P21|pp21
Tmf1	TATA element modulatory factor 1	MGI:MGI:2684999	7030402D04Rik|LOC232286
Zfp446	zinc finger protein 446	MGI:MGI:2442185	A630035I11Rik
Flcn	folliculin	MGI:MGI:2442184	B430214A04Rik|BHD
E130308A19Rik	RIKEN cDNA E130308A19 gene	MGI:MGI:2442164	
Dicer1	dicer 1, ribonuclease type III	MGI:MGI:2177178	1110006F08Rik|D12Ertd7e
Irf2bp1	interferon regulatory factor 2 binding protein 1	MGI:MGI:2442159	6330414O09Rik
Pdlim1	PDZ and LIM domain 1 (elfin)	MGI:MGI:1860611	CLP36|mClim1
Akap8l	A kinase (PRKA) anchor protein 8-like	MGI:MGI:1860606	Nakap95
Zxdb	zinc finger, X-linked, duplicated B	MGI:MGI:3694898	
Kdm1b	lysine (K)-specific demethylase 1B	MGI:MGI:2145261	4632428N09Rik|Aof1
Clock	circadian locomotor output cycles kaput	MGI:MGI:99698	5330400M04Rik|bHLHe8|KAT13D
Sertad3	SERTA domain containing 3	MGI:MGI:2180697	Rbt1|Sei3
Zmiz1	zinc finger, MIZ-type containing 1	MGI:MGI:3040693	Rai17|Zimp10
Zfp458	zinc finger protein 458	MGI:MGI:3040691	Rslcan-7
Ryr2	ryanodine receptor 2, cardiac	MGI:MGI:99685	9330127I20Rik
Tmbim6	transmembrane BAX inhibitor motif containing 6	MGI:MGI:99682	Bax inhibitor 1|Tegt
Zfp948	zinc finger protein 948	MGI:MGI:3040683	BC049807
Zfp708	zinc finger protein 708	MGI:MGI:3040674	
Zfp62	zinc finger protein 62	MGI:MGI:99662	
Prdm1	PR domain containing 1, with ZNF domain	MGI:MGI:99655	b2b1765Clo|Blimp1|Blimp-1|PRDI-BF1
Epha5	Eph receptor A5	MGI:MGI:99654	bsk|Cek7|Ehk1|Els1|Hek7|Rek7
Mms19	MMS19 (MET18 S. cerevisiae)	MGI:MGI:1919449	2610042O15Rik|C86341|Mms19l
Gper1	G protein-coupled estrogen receptor 1	MGI:MGI:1924104	6330420K13Rik|Ceprl|CMKRL2|FEG-1|GPCR-Br|Gper|Gpr30
Zbtb7a	zinc finger and BTB domain containing 7a	MGI:MGI:1335091	9030619K07Rik|9130006G12Rik|FBI-1|Leukemia/lymphoma Related Factor|Lrf|Pokemon|Zbtb7
Supt4b	suppressor of Ty 4B	MGI:MGI:1335090	Gm3258|Supt4h2
Atoh7	atonal bHLH transcription factor 7	MGI:MGI:1355553	bHLHa13|Math5
Snx6	sorting nexin 6	MGI:MGI:1919433	2010006G21Rik|2610032J07Rik|2810425K19Rik
Zfp661	zinc finger protein 661	MGI:MGI:1919430	2810405K07Rik
Elf5	E74-like factor 5	MGI:MGI:1335079	ESE-2
Atxn3	ataxin 3	MGI:MGI:1099442	2210008M02Rik|ataxin-3|Atx3|Mjd|MJD1|Sca3
Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	MGI:MGI:1919412	2810407E23Rik|Ddx36
Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	MGI:MGI:99606	Abc2|D2H0S1474E
Fgf8	fibroblast growth factor 8	MGI:MGI:99604	Aigf|Fgf-8
Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	MGI:MGI:1202879	mTcf-4B|mTcf-4E|Tcf4|Tcf-4|TCF4B|TCF4E
Snapc1	small nuclear RNA activating complex, polypeptide 1	MGI:MGI:1922877	2700033G17Rik
Zbtb46	zinc finger and BTB domain containing 46	MGI:MGI:1919397	2610019F01Rik|4933406L05Rik|Btbd4
Bcl2l12	BCL2-like 12 (proline rich)	MGI:MGI:1922986	2810475P17Rik|5430429M05Rik|Bcl2-L12|Bcl-L12
Suv420h2	suppressor of variegation 4-20 homolog 2 (Drosophila)	MGI:MGI:2385262	KMT5C|Suv4-20h2
Cnot3	CCR4-NOT transcription complex, subunit 3	MGI:MGI:2385261	A930039N10Rik
Arid5b	AT rich interactive domain 5B (MRF1-like)	MGI:MGI:2175912	5430435G07Rik|Desrt|Mrf2|Mrf2alpha|Mrf2beta
Ripply1	ripply transcriptional repressor 1	MGI:MGI:3614797	
Hdac11	histone deacetylase 11	MGI:MGI:2385252	
Gtf2h5	general transcription factor IIH, polypeptide 5	MGI:MGI:107227	2700017P07Rik|2810432H05Rik|D17Wsu155e
Tgfbr1	transforming growth factor, beta receptor I	MGI:MGI:98728	Alk-5|ALK5|TbetaRI|TbetaR-I
Zfp141	zinc finger protein 141	MGI:MGI:3584269	
Txlng	taxilin gamma	MGI:MGI:3590652	4932441K18Rik|Fiat
Coq7	demethyl-Q 7	MGI:MGI:107207	clk-1
Prpf6	pre-mRNA splicing factor 6	MGI:MGI:1922946	1190003A07Rik|2610031L17Rik|ANT-1|U5-102K
Mllt11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	MGI:MGI:1929671	Af1q
Supt20	suppressor of Ty 20	MGI:MGI:1929651	D3Ertd300e|Fam48a|p38 interacting protein|p38IP
Med20	mediator complex subunit 20	MGI:MGI:1929648	1110011O05Rik|2410115I17Rik|Trfp
Trerf1	transcriptional regulating factor 1	MGI:MGI:2442086	9430096I18Rik|Trep132|Trep-132
Rpl11	ribosomal protein L11	MGI:MGI:1914275	2010203J19Rik
Npat	nuclear protein in the AT region	MGI:MGI:107605	
Mina	myc induced nuclear antigen	MGI:MGI:1914264	1810047J07Rik|2410057H13Rik|3830408E23Rik
Son	Son DNA binding protein	MGI:MGI:98353	2900011L12Rik
Pkhd1	polycystic kidney and hepatic disease 1	MGI:MGI:2155808	FPC|tigmin
Rrp8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)	MGI:MGI:1914251	1500003O22Rik|2900001K19Rik
Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	MGI:MGI:1100089	Ly109l|ODF|OPGL|osteoclast differentiation factor|RANKL|Trance
Med28	mediator complex subunit 28	MGI:MGI:1914249	1500003D12Rik|Eg1|magicin
Zcchc18	zinc finger, CCHC domain containing 18	MGI:MGI:1914245	1500031H04Rik|Sizn2
Smarcd3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	MGI:MGI:1914243	1500001J14Rik|2210409C08Rik|BAF60C
Rnf31	ring finger protein 31	MGI:MGI:1934704	HOIP|Paul
Med19	mediator complex subunit 19	MGI:MGI:1914234	2410018M14Rik|3110040A13Rik|LCMR1
Trib3	tribbles pseudokinase 3	MGI:MGI:1345675	Ifld2|Nipk|SKIP3|Trb3
Gtf2h2	general transcription factor II H, polypeptide 2	MGI:MGI:1345669	44kDa|basal transcription factor 2, p44 subunit|Btf2p44|p44
Irf2bpl	interferon regulatory factor 2 binding protein-like	MGI:MGI:2442463	6430527G18Rik
Dusp26	dual specificity phosphatase 26 (putative)	MGI:MGI:1914209	2310043K02Rik
Cdca7	cell division cycle associated 7	MGI:MGI:1914203	2310021G01Rik|JPO1
Pcbp1	poly(rC) binding protein 1	MGI:MGI:1345635	[a]CP-1|hnRNP E1|WBP17
Klf8	Kruppel-like factor 8	MGI:MGI:2442430	A830097P10Rik|BKLF3|ZNF74
C1qbp	complement component 1, q subcomponent binding protein	MGI:MGI:1194505	D11Wsu182e|HABP1|P32
Kat6a	K(lysine) acetyltransferase 6A	MGI:MGI:2442415	9930021N24Rik|MOZ|Myst3|Zfp220
Ablim1	actin-binding LIM protein 1	MGI:MGI:1194500	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|abLIM-L|abLIM-M|abLIM-S|Limab1
Nfrkb	nuclear factor related to kappa B binding protein	MGI:MGI:2442410	A530090G11Rik
Zfp41	zinc finger protein 41	MGI:MGI:99186	CTfin92|Zfp-41
Cnot1	CCR4-NOT transcription complex, subunit 1	MGI:MGI:2442402	6030411K04Rik
Bmp2	bone morphogenetic protein 2	MGI:MGI:88177	Bmp2a
